Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records;Invasive
Poaceae;;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;;;2;
Polygala serpyllifolia;Hosé;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Polygalaceae;Polygala;Polygala serpyllifolia;4;
Potentilla erecta;(L.) Raeusch.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;Potentilla erecta;3;
Primula vulgaris;Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Primula;Primula vulgaris;3;
Prunella modularis;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Prunellidae;Prunella;Prunella modularis;1;
Prunella vulgaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Prunella;Prunella vulgaris;1;
Prunus avium;(L.) L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Prunus avium;1;
Pteridium aquilinum;(L.) Kuhn;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dennstaedtiaceae;Pteridium;Pteridium aquilinum;3;
Pterostichus madidus;(Fabricius, 1775);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus madidus;1;
Quercus petraea;(Matt.) Liebl.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Quercus petraea;1;
Ranunculus acris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus acris;1;
Ranunculus flammula;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus flammula;2;
Ranunculus repens;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus repens;3;
Rhipidia maculata;Meigen, 1818;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Rhipidia;Rhipidia maculata;1;
Rhododendron ponticum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Rhododendron;Rhododendron ponticum;1;
Riparia riparia;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Hirundinidae;Riparia;Riparia riparia;1;
Rissa tridactyla;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Rissa;Rissa tridactyla;1;
Rubus boudiccae;A.L. Bull & Edees;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;3;
Rubus dumnoniensis;Bab.;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;1;
Rubus fruticosus agg.;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;1;
Rubus idaeus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus idaeus;2;
Rubus nemoralis;P.J. Müll.;MICROSPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;;1;
Rumex acetosa;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex;Rumex acetosa;3;
Rumex acetosella;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex;Rumex acetosella;3;
Sagina procumbens;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Sagina;Sagina procumbens;1;
Salix aurita;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix aurita;1;
Salix cinerea subsp. oleifolia;Macreight;SUBSPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix cinerea;2;
Saxicola rubetra;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Muscicapidae;Saxicola;Saxicola rubetra;2;
Saxicola rubicola;(Linnaeus, 1766);SPECIES;Animalia;Chordata;Aves;Passeriformes;Muscicapidae;Saxicola;Saxicola rubicola;2;
Sciurus vulgaris;Linnaeus, 1758;SPECIES;Animalia;Chordata;Mammalia;Rodentia;Sciuridae;Sciurus;Sciurus vulgaris;3;
Scorzoneroides autumnalis;(L.) Moench;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Scorzoneroides;Scorzoneroides autumnalis;1;
Scrophularia nodosa;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Scrophulariaceae;Scrophularia;Scrophularia nodosa;1;
Sedum anglicum;Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Crassulaceae;Sedum;Sedum anglicum;2;
Silene dioica;(L.) Clairv.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Silene;Silene dioica;1;
Solidago virgaurea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Solidago;Solidago virgaurea;3;
Somateria mollissima;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria;Somateria mollissima;2;
Sorbus aucuparia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;Sorbus aucuparia;3;
Stellaria alsine;Grimm;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;Stellaria alsine;1;
Stellaria holostea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;Stellaria holostea;1;
Streptopelia decaocto;(Frivaldszky, 1838);SPECIES;Animalia;Chordata;Aves;Columbiformes;Columbidae;Streptopelia;Streptopelia decaocto;1;
Sturnus vulgaris;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Sturnidae;Sturnus;Sturnus vulgaris;4;
Succisa pratensis;Moench;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Succisa;Succisa pratensis;1;
Sylvia atricapilla;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Sylviidae;Sylvia;Sylvia atricapilla;1;
Taraxacum;F.H. Wigg.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;;3;
Teucrium scorodonia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Teucrium;Teucrium scorodonia;4;
Thalasseus sandvicensis;(Latham, 1787);SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Thalasseus;Thalasseus sandvicensis;2;
Thymus polytrichus subsp. britannicus;(Ronniger) Kerguélen;SUBSPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Thymus;Thymus polytrichus;3;
Tipula confusa;van der Wulp, 1883;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula confusa;1;
Tipula oleracea;Linnaeus, 1758;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula oleracea;1;
Tipula rufina;Meigen, 1818;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula rufina;1;
Tipula scripta;Meigen, 1830;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula scripta;1;
Tipula staegeri;Nielsen, 1922;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula staegeri;1;
Trichocera hiemalis;(De Geer, 1776);SPECIES;Animalia;Arthropoda;Insecta;Diptera;Trichoceridae;Trichocera;Trichocera hiemalis;1;
Trifolium dubium;Sibth.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium dubium;2;
Trifolium repens;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium repens;3;
Troglodytes troglodytes;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Troglodytidae;Troglodytes;Troglodytes troglodytes;4;
Turdus merula;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;Turdus merula;5;
Turdus philomelos;Brehm, CL, 1831;SPECIES;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;Turdus philomelos;5;
Turdus viscivorus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;Turdus viscivorus;2;
Ulex europaeus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Ulex;Ulex europaeus;3;
Uria aalge;(Pontoppidan, 1763);SPECIES;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Uria;Uria aalge;1;
Urtica dioica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica dioica;2;
Vaccinium myrtillus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;Vaccinium myrtillus;3;
Valeriana officinalis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Valeriana;Valeriana officinalis;3;
Vanessa atalanta;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Vanessa;Vanessa atalanta;1;
Veronica chamaedrys;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica chamaedrys;3;
Veronica filiformis;Sm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica filiformis;1;
Veronica officinalis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica officinalis;3;
Veronica serpyllifolia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Veronica serpyllifolia;4;
Viola palustris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola palustris;1;
Viola riviniana;Rchb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;Viola riviniana;3;
Vulpia bromoides;(L.) Gray;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Vulpia;Vulpia bromoides;1;
